Term,Section Name,Requisites,Description,Available Seats,Enrolled,Capacity,Waitlisted,Instructor Method,Modality 1 Schedule,Modality 1 Instructor,Modality 1 Times,Modality 1 Location,Modality 1 Days,Modality 2 Times,Modality 2 Days,Modality 2 Instructor,Modality 2 Location
Spring 2025,ANTHR-3-01,None,Intro to Archaeology,21,20,41,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Dustin K. McKenzie,12:40 PM - 2:00 PM,None,M/W,None,None,None,None,None
Spring 2025,ANTHR-6-01,None,Peop Nonwest:califo,22,19,41,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Dustin K. McKenzie,12:40 PM - 2:00 PM,None,T/Th,None,None,None,None,None
Spring 2025,AP-15-01,None,History of Photography,0,59,59,27,No Required Times Online Lect,2/3/2025 - 5/31/2025,Gregory R Mettler, - ,None,,None,None,None,None,None
Spring 2025,AP-1A-LS01,None,Foundations of Photography,0,26,26,9,"Required Times on Campus Lect, Required Times on Campus Lab, No Required Times Online Lect, No Required Times Online Lab",3/3/2025 - 5/31/2025,Lesley A. Louden,9:00 AM - 9:50 AM,None,T,10:00 AM - 12:05 PM,T,None,None,None
Spring 2025,AP-35-01,None,"Photo, New Media, Social Chng",0,40,40,8,No Required Times Online Lect,2/3/2025 - 5/31/2025,Lesley A. Louden, - ,None,,None,None,None,None,None
Spring 2025,AP-401A-LS01,None,Foundations of Photography,0,26,26,2,"Required Times on Campus Lect, Required Times on Campus Lab, No Required Times Online Lect, No Required Times Online Lab",3/3/2025 - 5/31/2025,Lesley A. Louden,9:00 AM - 9:50 AM,None,T,10:00 AM - 12:05 PM,T,None,None,None
Spring 2025,AP-406-01,None,Intro to Digital Photography,2,38,40,0,"No Required Times Online Lect, No Required Times Online Lab",2/3/2025 - 5/31/2025,Andrea S. Massalski, - ,None,, - ,,None,None,None
Spring 2025,AP-409A-01,None,Black and White Photography I,0,27,27,3,"Required Times on Campus Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Gregory R Mettler,2:30 PM - 5:35 PM,None,T,2:30 PM - 4:35 PM,Th,None,None,None
Spring 2025,AP-42-01,None,Alt Photo Processes I,9,18,27,0,"Required Times on Campus Lect, Required Times on Campus Lab, To Be Arranged on Campus Lab",2/3/2025 - 5/31/2025,Beverly Rayner,1:00 PM - 3:05 PM,None,T,3:15 PM - 4:05 PM,T,None,None,None
Spring 2025,AP-446A-01,None,Photoshop for Photography I,0,26,26,2,"No Required Times Online Lect, No Required Times Online Lab",2/3/2025 - 5/31/2025,Neeley E. Drown, - ,None,, - ,,None,None,None
Spring 2025,AP-446B-01,None,Photoshop for Photography II,12,14,26,0,"No Required Times Online Lect, No Required Times Online Lab",2/3/2025 - 5/31/2025,Sean Peeler, - ,None,, - ,,None,None,None
Spring 2025,AP-446C-01,None,Photoshop for Photography III,12,14,26,0,"No Required Times Online Lect, No Required Times Online Lab",2/3/2025 - 5/31/2025,Sean Peeler, - ,None,, - ,,None,None,None
Spring 2025,AP-448-LS01,None,Basic Product Photography,9,21,30,0,No Required Times Online Lect,4/7/2025 - 5/10/2025,Lesley A. Louden, - ,None,,None,None,None,None,None
Spring 2025,AP-46A-01,None,Photoshop for Photography I,0,26,26,1,"No Required Times Online Lect, No Required Times Online Lab",2/3/2025 - 5/31/2025,Neeley E. Drown, - ,None,, - ,,None,None,None
Spring 2025,AP-46B-01,None,Photoshop for Photography II,12,14,26,0,"No Required Times Online Lect, No Required Times Online Lab",2/3/2025 - 5/31/2025,Sean Peeler, - ,None,, - ,,None,None,None
Spring 2025,AP-46C-01,None,Photoshop for Photography III,12,14,26,0,"No Required Times Online Lect, No Required Times Online Lab",2/3/2025 - 5/31/2025,Sean Peeler, - ,None,, - ,,None,None,None
Spring 2025,AP-479-01,None,Creative Careers,14,16,30,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Leslie Murray,6:00 PM - 9:05 PM,None,M, - ,,Gabriel J. Medina,None,Gabriel J. Medina
Spring 2025,AP-52-01,None,Alt Photo Processes II,9,18,27,0,"Required Times on Campus Lect, Required Times on Campus Lab, To Be Arranged on Campus Lab",2/3/2025 - 5/31/2025,Beverly Rayner,1:00 PM - 3:05 PM,None,T,3:15 PM - 4:05 PM,T,None,None,None
Spring 2025,AP-55-LS01,None,Moving Image Studies,0,40,40,3,No Required Times Online Lect,3/3/2025 - 5/31/2025,Neeley E. Drown, - ,None,,None,None,None,None,None
Spring 2025,AP-6-01,None,Intro to Digital Photography,2,38,40,0,"No Required Times Online Lect, No Required Times Online Lab",2/3/2025 - 5/31/2025,Andrea S. Massalski, - ,None,, - ,,None,None,None
Spring 2025,AP-79-01,None,Creative Careers,14,16,30,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Leslie Murray,6:00 PM - 9:05 PM,None,M, - ,,Gabriel J. Medina,None,Gabriel J. Medina
Spring 2025,AP-9A-01,None,Black and White Photography I,0,27,27,5,"Required Times on Campus Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Gregory R Mettler,2:30 PM - 5:35 PM,None,T,2:30 PM - 4:35 PM,Th,None,None,None
Spring 2025,ART-11A-01,None,Small Metal/Jewelry Casting I,15,10,25,0,"Required Times on Campus Lect, Required Times on Campus Lab, To Be Arranged on Campus Lab",2/3/2025 - 5/31/2025,Leeyeon Yoo,1:00 PM - 3:05 PM,None,T,3:15 PM - 4:05 PM,T,None,None,None
