Term,Section Name,Requisites,Description,Available Seats,Enrolled,Capacity,Waitlisted,Instructor Method,Modality 1 Schedule,Modality 1 Instructor,Modality 1 Times,Modality 1 Location,Modality 1 Days,Modality 2 Times,Modality 2 Days,Modality 2 Instructor,Modality 2 Location
Spring 2025,BIO-11B-01,None,Marine Biology,9,19,28,0,"Required Times on Campus Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Allison J Gong,11:10 AM - 12:30 PM,None,M/W,12:50 PM - 3:55 PM,M,None,None,None
Spring 2025,BIO-11C-01,"[{'RequirementCode': '2535', 'IsRequired': True, 'CompletionOrder': 'PreviousOrConcurrent', 'CorequisiteCourseId': None, 'IsProtected': False}]",Ecology,14,14,28,0,"Required Times on Campus Lect, Required Times on Campus Lab, Lab/Activity (O)",2/3/2025 - 5/31/2025,Gabriel E. Gartner,8:00 AM - 9:20 AM,None,M/W,9:00 AM - 3:30 PM,F,None,None,None
Spring 2025,BIO-13A-01,None,Anat/Phsio People,32,28,60,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Penny A. Carroll,9:30 AM - 10:50 AM,None,T/Th,None,None,None,None,None
Spring 2025,BIO-13AL-01,"[{'RequirementCode': '2536', 'IsRequired': True, 'CompletionOrder': 'PreviousOrConcurrent', 'CorequisiteCourseId': None, 'IsProtected': False}]",Bio of People Lab,8,18,26,0,Required Times on Campus Lab,2/3/2025 - 5/31/2025,Adrienne E. Frisbee,9:00 AM - 12:05 PM,None,F,None,None,None,None,None
Spring 2025,BIO-4-01,None,Human Anatomy,0,26,26,26,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Matthew S. Halter,12:40 PM - 2:00 PM,None,M/W,9:30 AM - 12:35 PM,M,Matthew C. Berry,None,Matthew C. Berry
Spring 2025,BIO-450-01,None,App Research Bio,0,28,28,6,"Required Times on Campus Lect, Required Times on Campus Lab, No Required Times Online Lab",2/3/2025 - 5/31/2025,Kaila A. Pearson,9:00 AM - 9:50 AM,None,F,10:15 AM - 11:20 AM,F,Jane Silberstein,None,Jane Silberstein
Spring 2025,BIO-451-01,None,Adv Applied Research in Bio,0,28,28,4,"Required Times on Campus Lect, Required Times on Campus Lab, No Required Times Online Lab",2/3/2025 - 5/31/2025,Jane Silberstein,9:00 AM - 9:50 AM,None,F,10:15 AM - 11:20 AM,F,Kaila A. Pearson,None,Kaila A. Pearson
Spring 2025,BIO-5-01,None,Human Physiology,0,28,28,11,"Required Times on Campus Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Alyssa K. Burkhardt,8:00 AM - 9:20 AM,None,M/W,9:30 AM - 12:35 PM,M,None,None,None
Spring 2025,BIO-6-01,None,Microbiology,0,28,28,13,"Required Times on Campus Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Yves S. Tan,11:10 AM - 12:30 PM,None,T/Th,12:40 PM - 2:00 PM,T/Th,None,None,None
Spring 2025,BIO-9A-01,None,"Molec., Cellular, Animal Bio",9,19,28,0,"Required Times on Campus Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Yves S. Tan,12:40 PM - 2:00 PM,None,M/W,9:30 AM - 12:35 PM,M/W,Gabriel E. Gartner,None,Gabriel E. Gartner
Spring 2025,BIO-9B-01,None,"Ecology, Evolution, and Plant",9,19,28,0,"Required Times on Campus Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Gabriel E. Gartner,11:10 AM - 12:30 PM,None,T/Th,8:00 AM - 11:05 AM,T/Th,Adrienne E. Frisbee,None,Adrienne E. Frisbee
Spring 2025,BUS-18-LS04,None,Business Law,0,43,43,10,"No Required Times Online Lect, No Required Times Online Lab",3/3/2025 - 5/31/2025,Mo N. Hassan, - ,None,, - ,,None,None,None
Spring 2025,BUS-20-LS04,None,Intro to Business,24,19,43,0,No Required Times Online Lect,4/7/2025 - 5/31/2025,Luz R. Hoyt, - ,None,,None,None,None,None,None
Spring 2025,BUS-488-01,None,New Small Business,12,31,43,0,"Required Times on Campus Lect, No Required Times Online Lab",2/3/2025 - 5/31/2025,Jess A. Vega-Centeno,9:30 AM - 10:50 AM,None,T/Th, - ,,None,None,None
Spring 2025,BUS-5-01,None,Bus Inform Systems,0,43,43,16,"No Required Times Online Lect, No Required Times Online Lab",2/3/2025 - 5/31/2025,John C. Yost, - ,None,, - ,,None,None,None
Spring 2025,BUS-52-01,None,Business Communications,3,40,43,0,No Required Times Online Lect,2/3/2025 - 5/31/2025,Jess A. Vega-Centeno, - ,None,,None,None,None,None,None
Spring 2025,BUS-60-01,None,Intnl Bus,27,16,43,0,Hybrid Flexible Lecture,2/3/2025 - 5/31/2025,Jess A. Vega-Centeno,11:10 AM - 12:30 PM,None,T/Th,None,None,None,None,None
Spring 2025,BUS-67-01,None,Human Relations and Resources,25,18,43,0,Required Zoom Meetings Lecture,2/3/2025 - 5/31/2025,Cynthia L. Mathiesen,6:00 PM - 9:05 PM,None,W,None,None,None,None,None
Spring 2025,BUS-69-LS01,None,Organizational Behavior,34,9,43,0,No Required Times Online Lect,4/7/2025 - 5/31/2025,Mo N. Hassan, - ,None,,None,None,None,None,None
Spring 2025,BUS-88-01,None,New Small Business,12,31,43,0,"Required Times on Campus Lect, No Required Times Online Lab",2/3/2025 - 5/31/2025,Jess A. Vega-Centeno,9:30 AM - 10:50 AM,None,T/Th, - ,,None,None,None
Spring 2025,BUS-9-01,None,Business Statistics,0,43,43,31,"No Required Times Online Lect, No Required Times Online Lab",2/3/2025 - 5/31/2025,Silvina Leroux, - ,None,, - ,,None,None,None
Spring 2025,CABT-100-01,None,Business Tech and Procedures,14,6,30,0,"Hybrid Flexible Lecture, No Required Times Online Lab",2/3/2025 - 5/31/2025,Jennifer L. Vered,9:00 AM - 12:05 PM,None,M, - ,,None,None,None
Spring 2025,CABT-101-01,None,Computer Proficiency,15,15,30,0,"Hybrid Flexible Lecture, No Required Times Online Lab",2/3/2025 - 5/31/2025,Trista G Bailey,9:00 AM - 12:05 PM,None,Th, - ,,None,None,None
Spring 2025,CABT-102-01,None,Basic Spreadsheets,2,47,60,0,Hybrid Flexible Lab,2/3/2025 - 5/31/2025,Jennifer L. Vered, - ,None,,None,None,None,None,None
Spring 2025,CABT-108-01,None,Social Media for Business,8,22,30,0,"No Required Times Online Lect, No Required Times Online Lab",2/3/2025 - 5/31/2025,John D. Robertson, - ,None,, - ,,None,None,None
Spring 2025,CABT-109-01,None,Cust Serv/Human Rel,15,15,30,0,"No Required Times Online Lect, No Required Times Online Lab",2/3/2025 - 5/31/2025,Kimberley D. Turner, - ,None,, - ,,None,None,None
Spring 2025,CABT-110A-01,None,Keyboard-Alpha Keys,0,38,60,3,Hybrid Flexible Lab,2/3/2025 - 5/31/2025,Jennifer L. Vered, - ,None,,None,None,None,None,None
Spring 2025,CABT-110B-01,None,Keyboard-Numb/Symb,1,35,60,0,Hybrid Flexible Lab,2/3/2025 - 5/31/2025,Jennifer L. Vered, - ,None,,None,None,None,None,None
Spring 2025,CABT-110C-01,None,Keybrdg--Speed Dev,13,3,30,0,Hybrid Flexible Lab,2/3/2025 - 5/31/2025,Jennifer L. Vered, - ,None,,None,None,None,None,None
Spring 2025,CABT-118-01,None,Microsoft Windows,25,7,56,0,Hybrid Flexible Lecture,2/3/2025 - 3/29/2025,Jennifer L. Vered, - ,None,, - ,,Daniel De la Cruz,None,Daniel De la Cruz
Spring 2025,CABT-130AD-01,None,Accessible Docs,28,2,30,0,"Hybrid Flexible Lecture, Hybrid Flexible Lab",2/3/2025 - 5/31/2025,Cristy L. Pazera, - ,None,, - ,,None,None,None
Spring 2025,CABT-155-01,None,Basic Bus Comm Tech,23,7,30,0,Hybrid Flexible Lab,2/3/2025 - 5/31/2025,Jacqueline C. Ramos, - ,None,,None,None,None,None,None
Spring 2025,CABT-157-01,None,Bus and Tech Writing,0,20,30,1,Hybrid Flexible Lecture,2/3/2025 - 5/31/2025,Dairea H Burum,9:00 AM - 12:05 PM,None,W,None,None,None,None,None
Spring 2025,CABT-160-BIW,None,Outlook/Internet,7,9,30,0,"Hybrid Flexible Lecture, No Required Times Online Lab",3/3/2025 - 5/31/2025,John D. Robertson,9:00 AM - 11:50 AM,None,T, - ,,None,None,None
Spring 2025,CABT-161-LS01,None,Creating a Simple Web Site,20,10,30,0,"No Required Times Online Lect, No Required Times Online Lab",3/10/2025 - 5/31/2025,Audrey A. Blumeneau, - ,None,, - ,,None,None,None
Spring 2025,CABT-162AM-01,None,Accessible Media,27,3,30,0,"Hybrid Flexible Lecture, Hybrid Flexible Lab",2/3/2025 - 5/31/2025,Trista G Bailey, - ,None,, - ,,None,None,None
Spring 2025,CABT-171-01,None,CRM Tech I,24,6,30,0,"No Required Times Online Lect, No Required Times Online Lab",2/3/2025 - 3/29/2025,Kimberley D. Turner, - ,None,, - ,,None,None,None
Spring 2025,CABT-172-LS01,None,CRM Tech II,27,3,30,0,"No Required Times Online Lect, No Required Times Online Lab",4/7/2025 - 5/31/2025,Kimberley D. Turner, - ,None,, - ,,None,None,None
Spring 2025,CABT-210-01,None,Basic Keyboarding,23,13,60,0,Hybrid Flexible Lab,2/3/2025 - 5/31/2025,Jennifer L. Vered, - ,None,,None,None,None,None,None
Spring 2025,CABT-402-01,None,Basic Spreadsheets,13,47,60,0,Hybrid Flexible Lab,2/3/2025 - 5/31/2025,Jennifer L. Vered, - ,None,,None,None,None,None,None
Spring 2025,CABT-405-01,None,Beginning Tech Skills I,24,6,30,0,Hybrid Flexible Lab,2/3/2025 - 5/31/2025,Daniel De la Cruz, - ,None,,None,None,None,None,None
Spring 2025,CABT-406-01,None,Beg Tech Skills II,27,3,30,0,Hybrid Flexible Lab,2/3/2025 - 5/31/2025,Daniel De la Cruz, - ,None,,None,None,None,None,None
Spring 2025,CABT-410-01,None,Basic Keyboarding,27,13,60,0,Hybrid Flexible Lab,2/3/2025 - 5/31/2025,Jennifer L. Vered, - ,None,,None,None,None,None,None
Spring 2025,CABT-410A-01,None,Computer Lab Office Training,0,0,0,1,"No Required Times Online Lect, No Required Times Online Lab",2/3/2025 - 5/31/2025,Cristy L. Pazera, - ,None,, - ,,None,None,None
Spring 2025,CABT-410B-01,None,Computer Lab Teaching Training,0,0,0,1,"No Required Times Online Lect, No Required Times Online Lab",2/3/2025 - 5/31/2025,Cristy L. Pazera, - ,None,, - ,,None,None,None
Spring 2025,CABT-418-01,None,Microsoft Windows,27,7,56,0,Hybrid Flexible Lecture,2/3/2025 - 3/29/2025,Jennifer L. Vered, - ,None,, - ,,Daniel De la Cruz,None,Daniel De la Cruz
Spring 2025,CABT-43-01,None,Beg/Int Spreadsheet,3,17,30,0,"Hybrid Flexible Lecture, No Required Times Online Lect, No Required Times Online Lab",2/3/2025 - 3/29/2025,John D. Robertson,9:00 AM - 12:05 PM,None,Th, - ,,None,None,None
Spring 2025,CABT-430AD-01,None,Accessible Docs,28,2,30,0,"Hybrid Flexible Lecture, Hybrid Flexible Lab",2/3/2025 - 5/31/2025,Cristy L. Pazera, - ,None,, - ,,None,None,None
Spring 2025,CABT-44-BIW,None,Advanced Spreadsheets,9,6,30,0,"Hybrid Flexible Lecture, No Required Times Online Lect, No Required Times Online Lab",4/7/2025 - 5/31/2025,John D. Robertson,9:00 AM - 12:05 PM,None,Th, - ,,None,None,None
Spring 2025,CABT-455-01,None,Basic Bus Comm Tech,23,7,30,0,Hybrid Flexible Lab,2/3/2025 - 5/31/2025,Jacqueline C. Ramos, - ,None,,None,None,None,None,None
Spring 2025,CABT-462AM-01,None,Accessible Media,27,3,30,0,"Hybrid Flexible Lecture, Hybrid Flexible Lab",2/3/2025 - 5/31/2025,Trista G Bailey, - ,None,, - ,,None,None,None
Spring 2025,CABT-502-01,None,Tech Tutor/Support,1349,1,1350,0,Hybrid Flexible Lab,2/3/2025 - 5/31/2025,Marcelo V. Nogueira, - ,None,,None,None,None,None,None
Spring 2025,CAHM-151B-01,None,Adv Culinary Arts,0,12,12,6,"Required Times on Campus Lect, Required Times on Campus Lab, Lab/Activity (O)",2/3/2025 - 5/31/2025,Jeremy R. MacVeigh,12:00 PM - 3:05 PM,None,T,3:15 PM - 6:20 PM,T,None,None,None
Spring 2025,CAHM-155-01,None,Basic Baking & Past,0,25,25,15,"Online Asynchronous Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Anne K. Baldzikowski, - ,None,,9:30 AM - 12:35 PM,Th,None,None,None
Spring 2025,CAHM-157L-01,None,Cater/Bev/Op Lab,2,13,15,0,Required Times on Campus Lab,2/3/2025 - 5/31/2025,Andrea C Mollenauer,8:00 AM - 11:50 AM,None,F,12:20 PM - 2:10 PM,F,None,None,None
Spring 2025,CAHM-167-01,None,Cultural and Ethnic,0,20,20,1,"Required Times on Campus Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Andrea C Mollenauer,9:30 AM - 10:20 AM,None,M,10:30 AM - 1:35 PM,M,None,None,None
Spring 2025,CAHM-168-01,None,Adv Baking and Pastry,12,13,25,0,"Online Asynchronous Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Anne K. Baldzikowski, - ,None,,2:30 PM - 5:35 PM,M,None,None,None
Spring 2025,CAHM-50A-01,None,Intro Culinary Art,0,30,30,12,Required Times on Campus Lect,2/3/2025 - 3/3/2025,Staff,9:00 AM - 1:15 PM,None,M,None,None,None,None,None
Spring 2025,CAHM-50B-LS01,None,Intro Entree Prep,0,30,30,4,Required Times on Campus Lect,3/10/2025 - 4/14/2025,Staff,9:00 AM - 12:20 PM,None,M,None,None,None,None,None
Spring 2025,CAHM-50C-LS01,None,Intro Appetizers,0,30,30,1,Required Times on Campus Lect,4/21/2025 - 5/19/2025,Staff,9:00 AM - 12:20 PM,None,M,None,None,None,None,None
Spring 2025,CAHM-50L-01,None,Intro Culinary Arts,0,15,15,0,Required Times on Campus Lab,2/3/2025 - 5/31/2025,Megan A. Bailey,7:30 AM - 10:20 AM,None,T,10:50 AM - 2:00 PM,T,None,None,None
Spring 2025,CAHM-60-01,None,Purchasing and Food Cost,0,30,30,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Staff,3:15 PM - 5:20 PM,None,T,None,None,None,None,None
Spring 2025,CAHM-64-01,None,Sanitation and Hygi,0,30,30,11,Hybrid Flexible Lecture,2/3/2025 - 5/31/2025,Megan A. Bailey,3:15 PM - 5:20 PM,None,W,None,None,None,None,None
Spring 2025,CAHM-74-01,None,World Wines,38,22,60,0,Required Zoom Meetings Lecture,2/3/2025 - 3/2/2025,Deborah A. Wong,6:30 PM - 8:35 PM,None,M,6:30 PM - 8:35 PM,M,None,None,None
Spring 2025,CAHM-76-01,None,Basic Winemaking,19,11,30,0,Required Times on Campus Lect,2/3/2025 - 3/24/2025,Mikael C. Wargin,9:00 AM - 2:25 PM,None,M,None,None,None,None,None
Spring 2025,CAHM-77-LS01,None,Basic Wine Grape Viticulture,20,10,30,0,Required Times on Campus Lect,4/7/2025 - 5/19/2025,Priscilla E. Foxx,9:00 AM - 2:25 PM,None,M,None,None,None,None,None
Spring 2025,CEM-151-01,None,Construction Fundamentals,15,35,50,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Bruce K. Greenstein,6:00 PM - 9:05 PM,None,M,None,None,None,None,None
Spring 2025,CEM-151EL-LS01,None,Elec Bas Const Tech,0,25,25,1,Required Times on Campus Lect,2/8/2025 - 2/8/2025,Mark G. Van Meter,9:00 AM - 1:15 PM,None,Sa,9:00 AM - 1:15 PM,Sa,None,None,None
Spring 2025,CEM-151FC-LS01,None,Basic Finish Carpentry,7,18,25,0,"Required Times on Campus Lect, Required Times on Campus Lab",4/19/2025 - 5/17/2025,Mark G. Van Meter,9:00 AM - 12:20 PM,None,Sa,12:30 PM - 3:50 PM,Sa,None,None,None
Spring 2025,CEM-151L-01,None,Construction Lab,8,17,25,0,Required Times on Campus Lab,2/3/2025 - 5/31/2025,Bruce K. Greenstein,1:00 PM - 4:05 PM,None,T,None,None,None,None,None
Spring 2025,CEM-151PL-LS01,None,Plumbing Basics,0,25,25,3,Required Times on Campus Lect,3/15/2025 - 3/29/2025,Mark G. Van Meter,9:00 AM - 1:15 PM,None,Sa,9:00 AM - 1:15 PM,Sa,None,None,None
Spring 2025,CEM-154-01,None,Construct Estimate,0,30,30,17,No Required Times Online Lect,2/3/2025 - 5/31/2025,Mark G. Van Meter, - ,None,,None,None,None,None,None
Spring 2025,CEM-159-01,None,Constr Plan and Sched,0,45,45,3,No Required Times Online Lect,2/3/2025 - 5/31/2025,Bruce K. Greenstein, - ,None,,None,None,None,None,None
Spring 2025,CEM-161-01,None,Constr Bus. and Topics,16,29,45,0,No Required Times Online Lect,2/3/2025 - 5/31/2025,Bruce K. Greenstein, - ,None,,None,None,None,None,None
Spring 2025,CEM-162BS-01,None,Building Science for Construct,3,22,25,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Bruce K. Greenstein,6:00 PM - 9:05 PM,None,T,None,None,None,None,None
Spring 2025,CEM-162SP-02,None,Solar Photovoltaic Design,12,13,25,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Kenny M Murray,6:00 PM - 9:05 PM,None,W,None,None,None,None,None
Spring 2025,CEM-169A-01,None,Fund U Mech Code,10,20,30,0,Hybrid Flexible Lecture,2/3/2025 - 5/31/2025,James E. Heaney,6:00 PM - 9:05 PM,None,M,None,None,None,None,None
Spring 2025,CEM-175C-01,None,National Electrical Code,0,30,30,1,"Required Times on Campus Lect, Required Zoom Meetings Lecture",2/6/2025 - 2/6/2025,Mark G. Van Meter,6:00 PM - 9:05 PM,None,Th,6:00 PM - 9:05 PM,Th,None,None,None
Spring 2025,CEM-451-01,None,Construction Fundamentals,15,35,50,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Bruce K. Greenstein,6:00 PM - 9:05 PM,None,M,None,None,None,None,None
Spring 2025,CEM-451L-01,None,Construction Lab,8,17,25,0,Required Times on Campus Lab,2/3/2025 - 5/31/2025,Bruce K. Greenstein,1:00 PM - 4:05 PM,None,T,None,None,None,None,None
Spring 2025,CG-51-BRDG1,None,Plan for Success,29,4,33,0,"Required Times on Campus Lect, No Required Times Online Lect",3/18/2025 - 3/25/2025,Mario Z. Garcia,4:15 PM - 5:05 PM,None,W,4:15 PM - 5:05 PM,W,None,None,None
Spring 2025,CG-54-CSUMB,None,Major/Career Exploration,26,7,33,0,Required Times on Campus Lect,2/7/2025 - 2/7/2025,Ileana Gil,10:00 AM - 12:20 PM,None,F,10:00 AM - 12:20 PM,F,None,None,None
Spring 2025,CHEM-12A-01,None,Organic Chemistry I,54,11,65,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Burcak M. Artun,8:00 AM - 9:20 AM,None,T/Th,None,None,None,None,None
Spring 2025,CHEM-12AL-01,None,Organic Chem Lab I,8,12,20,0,Required Times on Campus Lab,2/3/2025 - 5/31/2025,Burcak M. Artun,8:00 AM - 11:05 AM,None,M/W,None,None,None,None,None
Spring 2025,CHEM-12B-01,None,Organic Chemistry II,18,47,65,0,Hybrid Flexible Lecture,2/3/2025 - 5/31/2025,Zerubba U. Levi,12:40 PM - 2:00 PM,None,T/Th,None,None,None,None,None
Spring 2025,CHEM-12BL-01,None,Organic Chem Lab II,0,20,20,2,Required Times on Campus Lab,2/3/2025 - 5/31/2025,Zerubba U. Levi,8:00 AM - 11:05 AM,None,T/Th,None,None,None,None,None
Spring 2025,CHEM-1A-01,None,General Chemistry,6,19,25,0,"Required Times on Campus Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Sarah A. Gerhardt,12:40 PM - 2:00 PM,None,M/W,8:00 AM - 11:05 AM,M/W,None,None,None
Spring 2025,CHEM-1B-01,None,General Chemistry II,2,21,23,0,"Required Times on Campus Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Albi B. Romero,12:40 PM - 2:00 PM,None,T/Th,8:00 AM - 11:05 AM,T/Th,None,None,None
Spring 2025,CHEM-3-01,None,Intr Inorganic Chem,0,100,100,11,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Elizabeth H. Flynn,11:15 AM - 12:35 PM,None,T/Th,None,None,None,None,None
Spring 2025,CHEM-30A-01,None,Inorganic Chem for Health,0,28,28,12,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Elizabeth H. Flynn,11:10 AM - 12:30 PM,None,M/W,8:00 AM - 9:20 AM,M/W,Lucas P. Cantin,None,Lucas P. Cantin
Spring 2025,CHEM-30B-01,None,Organic/Biochem for Health,0,25,25,10,"Required Times on Campus Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Burcak M. Artun,6:00 PM - 7:20 PM,None,T/Th,7:30 PM - 8:50 PM,T/Th,None,None,None
Spring 2025,CHEM-3L-01,None,Intr Inorganic Chem Lab,2,23,25,0,Required Times on Campus Lab,2/3/2025 - 5/31/2025,Anna Johnston,11:10 AM - 2:15 PM,None,M,None,None,None,None,None
Spring 2025,CIS-103-01,None,Tech Support As a Profession,4,28,32,0,"Hybrid Flexible Lecture, No Required Times Online Lab",2/3/2025 - 5/31/2025,Terri W. Oropeza,5:40 PM - 7:45 PM,None,T/Th, - ,,None,None,None
Spring 2025,CIS-15-01,None,Programming With Python,11,19,30,0,"Hybrid Flexible Lecture, No Required Times Online Lab",2/3/2025 - 5/31/2025,Andrew Thach,2:30 PM - 4:35 PM,None,M/W, - ,,None,None,None
Spring 2025,CIS-470B-01,None,Google IT Support B,26,4,30,0,No Required Times Online Lect,2/3/2025 - 5/31/2025,Glenn A. Dunki-Jacobs-Nolten, - ,None,,None,None,None,None,None
Spring 2025,CIS-471B-01,None,A+ Cert Software,25,5,30,0,No Required Times Online Lect,2/3/2025 - 5/31/2025,Glenn A. Dunki-Jacobs-Nolten, - ,None,,None,None,None,None,None
Spring 2025,CIS-71-01,None,IT Essentials,6,24,30,0,"Required Times on Campus Lect, No Required Times Online Lab",2/3/2025 - 5/31/2025,Marcelo V. Nogueira,5:30 PM - 9:35 PM,None,Th, - ,,None,None,None
Spring 2025,CIS-75-01,None,Computer Security,15,17,32,0,"Hybrid Flexible Lecture, No Required Times Online Lab",2/3/2025 - 5/31/2025,Elizabeth Louise Shaw,6:30 PM - 7:50 PM,None,M/W, - ,,None,None,None
Spring 2025,CIS-77-01,None,Computer Forensics,24,8,32,0,"Hybrid Flexible Lecture, No Required Times Online Lab",2/3/2025 - 5/31/2025,Daniel De la Cruz,5:30 PM - 8:35 PM,None,T, - ,,None,None,None
Spring 2025,CIS-81-01,None,Introduction to Networks,13,17,30,0,"Required Times on Campus Lect, No Required Times Online Lab",2/3/2025 - 5/31/2025,Rick Graziani,10:00 AM - 12:05 PM,None,M/W, - ,,None,None,None
Spring 2025,CIS-82-02,None,"Switching, Routing, Wireless",4,28,32,0,"Hybrid Flexible Lecture, No Required Times Online Lab",2/3/2025 - 5/31/2025,Rick Graziani,1:00 PM - 3:05 PM,None,M/W, - ,,None,None,None
Spring 2025,CIS-90-01,None,Intro to UNIX/Linux,9,23,32,0,"Hybrid Flexible Lecture, No Required Times Online Lab",2/3/2025 - 5/31/2025,Elizabeth Louise Shaw,5:00 PM - 6:20 PM,None,M/W, - ,,None,None,None
Spring 2025,CIS-92-01,None,Cloud Devops,21,11,32,0,"Hybrid Flexible Lecture, No Required Times Online Lab",2/3/2025 - 5/31/2025,Elizabeth Louise Shaw,1:00 PM - 3:05 PM,None,T/Th, - ,,None,None,None
Spring 2025,CIS-95-01,None,Server Admin,23,9,32,0,"Hybrid Flexible Lecture, No Required Times Online Lab",2/3/2025 - 5/31/2025,Elizabeth Louise Shaw,5:30 PM - 7:35 PM,None,T/Th, - ,,None,None,None
Spring 2025,CJ-1-01,None,Intro to Criminal J,0,40,40,1,No Required Times Online Lect,2/3/2025 - 5/31/2025,Phillip R. Carr, - ,None,,None,None,None,None,None
Spring 2025,CJ-10-01,None,Forensic Investigation,12,28,40,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Ginger Charles,12:40 PM - 3:45 PM,None,W,None,None,None,None,None
Spring 2025,CJ-155D-SB01,None,Law Enf Skls and Knwl,2,38,40,0,Required Times on Campus Lab,6/26/2024 - 12/18/2024,Kevin Jensen, - ,None,,None,None,None,None,None
Spring 2025,CJ-2-01,None,Criminal Law,0,40,40,14,No Required Times Online Lect,2/3/2025 - 5/31/2025,Ginger Charles, - ,None,,None,None,None,None,None
Spring 2025,CJ-3-01,None,Criminal Evidence,0,40,40,1,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Christine M. Smith,11:10 AM - 12:30 PM,None,T/Th,None,None,None,None,None
Spring 2025,CJ-4-01,None,Courts and Procedures,26,14,40,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Christine M. Smith,11:10 AM - 12:30 PM,None,M/W,None,None,None,None,None
Spring 2025,CJ-7-01,None,CJ Written Communic,21,9,30,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Christine M. Smith,12:40 PM - 2:00 PM,None,M/W,None,None,None,None,None
Spring 2025,CJ-9-01,None,Juvenile Procedures,28,12,40,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Bernardino V. Rocha,6:00 PM - 9:05 PM,None,M,None,None,None,None,None
Spring 2025,COMM-1-01,None,Public Speaking,0,28,30,5,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Angie M. Mendoza,9:30 AM - 10:50 AM,None,M/W,None,None,None,None,None
Spring 2025,COMM-10-01,None,Comm Process,0,30,30,10,No Required Times Online Lect,2/3/2025 - 5/31/2025,Kendall E. Sooter, - ,None,,None,None,None,None,None
Spring 2025,COMM-12-01,None,Intercultural Comm.,0,30,30,1,No Required Times Online Lect,2/3/2025 - 3/29/2025,Skye Gentile, - ,None,,None,None,None,None,None
Spring 2025,COMM-14-01,None,Health Communication,0,30,30,7,No Required Times Online Lect,2/3/2025 - 5/31/2025,Kendall E. Sooter, - ,None,,None,None,None,None,None
Spring 2025,COMM-1H-HONRS,None,Honors Public Speaking,2,28,30,0,"Required Times on Campus Lect, Lecture (O)",2/3/2025 - 5/31/2025,Raina Chelise,12:40 PM - 2:00 PM,None,M/W,None,None,None,None,None
Spring 2025,COMM-2-01,None,Group Discussion,20,10,30,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Erin M. Weeks,12:40 PM - 2:00 PM,None,T/Th,None,None,None,None,None
Spring 2025,COMM-6-01,None,Listening,23,42,65,0,No Required Times Online Lect,2/3/2025 - 3/1/2025,Erin M. Weeks, - ,None,,None,None,None,None,None
Spring 2025,COMM-7-02,None,Interpersonal Comm,21,9,30,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Skye Gentile,11:10 AM - 12:30 PM,None,T/Th,None,None,None,None,None
Spring 2025,CS-1-01,None,Intro to Computers and Tech,0,30,30,1,"Required Zoom Meetings Lecture, Online Asynchronous Lect, No Required Times Online Lab",2/3/2025 - 5/31/2025,Rick Graziani,4:00 PM - 6:05 PM,None,W, - ,,None,None,None
Spring 2025,CS-11-01,None,Intro to Programming/C++,2,30,32,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Andrew Thach,2:30 PM - 4:35 PM,None,T/Th,None,None,None,None,None
Spring 2025,CS-12P-01,None,Intro to Python,22,10,32,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Jeffrey A. Bergamini,11:00 AM - 1:05 PM,None,M/W,None,None,None,None,None
Spring 2025,CS-19-01,None,C++ Programming,0,35,35,4,"No Required Times Online Lect, No Required Times Online Lab",2/3/2025 - 5/31/2025,Jeffrey A. Bergamini, - ,None,, - ,,None,None,None
Spring 2025,CS-20P-01,None,Python Programming,21,14,35,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Jeffrey A. Bergamini,11:10 AM - 1:15 PM,None,T/Th,None,None,None,None,None
